"id","coin_id","date","one_day_trend","day_perc_diff","one_week_trend","symbol_count","name_count","coin_id_count","sentiment_score","social_dominance"
21274539,"brett","2024-11-19","-40","-49.382716049382715","-3",41,41,41,"NaN","1.4936585088624953e-05"
21286097,"uniswap","2024-11-19","-691","-40.24461269656378","95",26,1000,1026,"NaN","0.0003737789341690049"
21225001,"uniswap","2024-11-18","-191","-10.0104821802935","197.71428571428572",43,1674,1717,"NaN","0.0009169985467949646"
21221294,"pepe","2024-11-18","-65","-22.413793103448278","-0.42857142857142855",225,225,225,"NaN","0.00012016579675530985"
21215369,"dogecoin","2024-11-18","-65","-8.217446270543615","16.285714285714285",577,149,726,"NaN","0.0003877349708637998"
21220329,"neiro","2024-11-18","4","5.263157894736842","-5.714285714285714",80,80,80,"NaN","4.272561662411017e-05"
21213443,"brett","2024-11-18","-25","-23.58490566037736","9.714285714285714",81,81,81,"NaN","4.325968683191155e-05"
21216006,"ethereum","2024-11-18","68","2.7766435279706005","-22.857142857142858",1636,881,2517,"NaN","0.0013442547130360662"
21137073,"brett","2024-11-17","48","82.75862068965517","10.714285714285714",106,106,106,"NaN","2.0254484218603974e-05"
21138999,"dogecoin","2024-11-17","79","11.095505617977528","49.142857142857146",676,115,791,"NaN","0.00015114431148033718"
21139636,"ethereum","2024-11-17","26","1.0730499380932728","-74.28571428571429",1539,910,2449,"NaN","0.00046795501746567104"
21148631,"uniswap","2024-11-17","996","109.21052631578947","233.57142857142858",27,1881,1908,"NaN","0.00036458071593487154"
21144924,"pepe","2024-11-17","-3","-1.023890784982935","7.285714285714286",290,290,290,"NaN","5.54132115414637e-05"
21143959,"neiro","2024-11-17","-25","-24.752475247524753","5.857142857142857",76,76,76,"NaN","1.4522083024659453e-05"
21063415,"ethereum","2024-11-16","6","0.24824162184526274","-84.28571428571429",1548,875,2423,"NaN","0.0013913077431472495"
21067714,"neiro","2024-11-16","2","2.0202020202020203","4.571428571428571",101,101,101,"NaN","5.799508132805291e-05"
21072358,"uniswap","2024-11-16","-462","-33.624454148471614","98",37,875,912,"NaN","0.0005236783581305371"
21060867,"brett","2024-11-16","-39","-40.20618556701031","3.142857142857143",58,58,58,"NaN","3.3304106109178896e-05"
21062782,"dogecoin","2024-11-16","-189","-20.97669256381798","45.714285714285715",584,128,712,"NaN","0.000408836612926472"
21068674,"pepe","2024-11-16","-88","-23.097112860892388","12.714285714285714",293,293,293,"NaN","0.00016824315672395548"
21002022,"dogecoin","2024-11-15","-186","-17.111315547378105","76.71428571428571",775,126,901,"NaN","0.00048369891701906183"
21000107,"brett","2024-11-15","-3","-3","9",97,97,97,"NaN","5.207413424067591e-05"
21007914,"pepe","2024-11-15","-368","-49.13217623497997","21.285714285714285",381,381,381,"NaN","0.000204538609749459"
21011598,"uniswap","2024-11-15","-370","-21.21559633027523","94.57142857142857",31,1343,1374,"NaN","0.0007376274272854505"
21006954,"neiro","2024-11-15","-1","-1","1",99,99,99,"NaN","5.3147827730174385e-05"
21002655,"ethereum","2024-11-15","-180","-6.9310743165190605","-62",1554,863,2417,"NaN","0.001297558582058904"
20946194,"neiro","2024-11-14","-42","-29.577464788732392","4.714285714285714",100,100,100,"NaN","5.2100890247911663e-05"
20950838,"uniswap","2024-11-14","1315","306.5268065268065","152.14285714285714",27,1717,1744,"NaN","0.0009086395259235795"
20947154,"pepe","2024-11-14","128","20.611916264090176","78.28571428571429",749,749,749,"NaN","0.0003902356679568584"
20939347,"brett","2024-11-14","69","222.5806451612903","4.857142857142857",100,100,100,"NaN","5.2100890247911663e-05"
20941895,"ethereum","2024-11-14","-386","-12.93999329534026","-99.42857142857143",1673,924,2597,"NaN","0.001353060119738266"
20941262,"dogecoin","2024-11-14","-1146","-51.32109270040305","98",969,118,1087,"NaN","0.0005663366769947998"
20880585,"dogecoin","2024-11-13","1050","88.75739644970415","196.28571428571428",2021,212,2233,"NaN","0.0003954435972227215"
20885498,"neiro","2024-11-13","26","22.413793103448278","15.571428571428571",142,142,142,"NaN","2.5146883477665228e-05"
20886452,"pepe","2024-11-13","229","58.41836734693877","36.42857142857143",621,621,621,"NaN","0.00010997334253260639"
20890109,"uniswap","2024-11-13","68","18.83656509695291","-71",117,312,429,"NaN","7.597192261914354e-05"
20878677,"brett","2024-11-13","-31","-50","-3.2857142857142856",31,31,31,"NaN","5.489812590194522e-06"
20881214,"ethereum","2024-11-13","-224","-6.984720922980979","-78.57142857142857",2094,889,2983,"NaN","0.0005282616437596858"
