id,coin_id,one_day_trend,day_perc_diff,one_week_trend,symbol_count,name_count,coin_id_count,sentiment_score,social_dominance,block_number
12071073,pepe,148,19.3211488251,71.28571428571429,914,914,914,0,0.0003054972,17008800
12065946,ethereum,123,2.6855895197,-9.285714285714286,3534,1169,4703,0,0.0015719402,17008810
12065284,dogecoin,32,8.2051282051,-67.14285714285714,382,40,422,0,0.0001410501,17008820
12074652,uniswap,394,38.7413962635,81.14285714285714,15,1396,1411,0,0.0004716155,17008830
12063435,brett,-82,-62.5954198473,-4.714285714285714,49,49,49,0,1.63779e-05,17008840
12140056,ethereum,-1341,-28.5137146502,-172.57142857142858,2737,625,3362,0,0.0013703789,17008850
12148762,uniswap,-522,-36.9950389794,-9.428571428571429,23,866,889,0,0.0003623637,17008860
12145183,pepe,-263,-28.7746170678,8.428571428571429,651,651,651,0,0.000265353,17008870
12139394,dogecoin,-257,-60.9004739336,-86.14285714285714,123,42,165,0,6.72554e-05,17008880
12137545,brett,46,93.8775510204,4.571428571428571,95,95,95,0,3.87228e-05,17008890
12204634,pepe,-49,-7.5268817204,-14,602,602,602,0,0.0002970772,17008900
12196981,brett,-56,-58.9473684211,-4.571428571428571,39,39,39,0,1.92459e-05,17008910
12198838,dogecoin,-9,-5.4545454545,-29.857142857142858,113,43,156,0,7.69835e-05,17008920
12199500,ethereum,-998,-29.6847114813,-205,1820,544,2364,0,0.0011665957,17008930
12208226,uniswap,-427,-48.031496063,-51.857142857142854,20,442,462,0,0.0002279895,17008940
12278909,pepe,-137,-22.7574750831,-19.428571428571427,465,465,465,0,0.0002461633,17008950
12273775,ethereum,-118,-4.9915397631,-200.28571428571428,1644,602,2246,0,0.0011889952,17008960
12271256,brett,10,25.641025641,-0.8571428571428571,49,49,49,0,2.59398e-05,17008970
12273113,dogecoin,58,37.1794871795,-32.57142857142857,189,25,214,0,0.0001132881,17008980
12282501,uniswap,343,74.2424242424,2.5714285714285716,11,794,805,0,0.0004261537,17008990
12348050,ethereum,1763,78.4951024043,58.857142857142854,2946,1063,4009,0,0.0016731544,17009000
12345531,brett,-2,-4.0816326531,-1,47,47,47,0,1.96154e-05,17009010
12347388,dogecoin,265,123.8317757009,-68,386,93,479,0,0.0001999104,17009020
12353184,pepe,343,73.7634408602,21,808,808,808,0,0.0003372184,17009030
